courseNumber,requirementType,area
30000,Foundations,Financial Accounting
30001,FLMBE,Decisions
30005,FLMBE,Decisions
30116,Foundations,Financial Accounting
30120,Foundations,Financial Accounting
30122,Foundations,Financial Accounting
30130,Foundations,Financial Accounting
30131,Foundations,Financial Accounting
30133,FLMBE,Society
31403,FLMBE,People
33001,Foundations,Microeconomics
33002,Foundations,Microeconomics
33032,FLMBE,People
33040,FLMBE,Economy
33050,FLMBE,Economy
33101,Foundations,Microeconomics
33112,FLMBE,Economy
33230,Foundations,Microeconomics
33250,FLMBE,Society
33251,FLMBE,Society
33305,FLMBE,Society
33401,FLMBE,Economy
33403,FLMBE,Economy
33471,FLMBE,Society
33501,FLMBE,Economy
33502,FLMBE,Economy
33503,FLMBE,Economy
33520,FLMBE,Economy
34101,FLMBE,Finance
34113,FLMBE,Society
34117,FLMBE,Society
34901,FLMBE,Finance
34902,FLMBE,Finance
34903,FLMBE,Finance
34904,FLMBE,Finance
35000,FLMBE,Finance
35001,FLMBE,Finance
35100,FLMBE,Finance
35120,FLMBE,Finance
35130,FLMBE,Finance
35150,FLMBE,Finance
35200,FLMBE,Finance
35201,FLMBE,Finance
35210,FLMBE,Finance
35214,FLMBE,Finance
36106,FLMBE,Decisions
36109,FLMBE,Decisions
37000,FLMBE,Marketing
37101,FLMBE,Marketing
37103,FLMBE,Marketing
37105,FLMBE,Marketing
37107,FLMBE,Marketing
37110,FLMBE,Marketing
37113,FLMBE,Marketing
37115,FLMBE,Marketing
37200,FLMBE,Marketing
37201,FLMBE,Marketing
37202,FLMBE,Marketing
37209,FLMBE,Marketing
37212,FLMBE,Society
37301,FLMBE,Marketing
37310,FLMBE,Marketing
37703,FLMBE,Marketing
37730,FLMBE,Marketing
38001,FLMBE,People
38002,FLMBE,Decisions
38003,FLMBE,People
38115,FLMBE,Society
38119,FLMBE,Society
38120,FLMBE,Decisions
38122,FLMBE,People
38126,FLMBE,Society
38129,FLMBE,People
39001,FLMBE,Strategy
39002,FLMBE,People
39101,FLMBE,Strategy
40000,FLMBE,Operations
40101,FLMBE,Operations
40108,FLMBE,Operations
40110,FLMBE,Operations
41000,Foundations,Statistics
41001,Foundations,Statistics
41100,Foundations,Statistics
41201,Foundations,Statistics
41202,Foundations,Statistics
41203,Foundations,Statistics
41204,Foundations,Statistics
41206,Foundations,Statistics
41207,Foundations,Statistics
41208,Foundations,Statistics
41215,Foundations,Statistics
41301,Foundations,Statistics
41305,Foundations,Statistics
41814,Foundations,Statistics
41901,Foundations,Statistics
41902,Foundations,Statistics
41903,Foundations,Statistics
41910,Foundations,Statistics
41916,Foundations,Statistics
42001,FLMBE,Strategy
42116,FLMBE,Strategy
42135,FLMBE,Strategy
42136,FLMBE,Society
42201,FLMBE,Society
42715,FLMBE,Strategy
